"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2020","1,694.51","1,687.43","1,695.49","1,678.38","312.53M","0.42%"
"May 21, 2020","1,687.43","1,711.36","1,715.12","1,686.68","345.54M","-1.40%"
"May 20, 2020","1,711.36","1,675.91","1,714.69","1,675.91","401.61M","2.12%"
"May 19, 2020","1,675.91","1,682.71","1,701.91","1,675.36","387.28M","-0.40%"
"May 18, 2020","1,682.71","1,640.66","1,691.65","1,640.66","434.33M","2.56%"
"May 15, 2020","1,640.66","1,633.76","1,642.14","1,603.25","552.25M","0.42%"
"May 14, 2020","1,633.76","1,613.48","1,634.17","1,584.61","489.36M","1.26%"
"May 13, 2020","1,613.48","1,641.18","1,654.55","1,592.13","510.45M","-1.69%"
"May 12, 2020","1,641.18","1,676.99","1,687.82","1,640.56","391.60M","-2.14%"
"May 11, 2020","1,676.99","1,665.40","1,685.88","1,650.51","389.64M","0.70%"
"May 08, 2020","1,665.40","1,642.45","1,665.73","1,642.45","369.02M","1.40%"
"May 07, 2020","1,642.45","1,617.93","1,651.01","1,617.93","391.89M","1.52%"
"May 06, 2020","1,617.93","1,606.48","1,633.37","1,606.48","368.55M","0.71%"
"May 05, 2020","1,606.48","1,583.92","1,626.13","1,583.92","381.64M","1.42%"
"May 04, 2020","1,583.92","1,561.70","1,584.91","1,549.08","375.42M","1.42%"
"May 01, 2020","1,561.70","1,608.60","1,608.60","1,557.00","472.50M","-2.92%"
"Apr 30, 2020","1,608.60","1,615.98","1,616.63","1,595.83","497.34M","-0.46%"
"Apr 29, 2020","1,615.98","1,550.58","1,620.23","1,550.58","552.16M","4.22%"
"Apr 28, 2020","1,550.58","1,572.69","1,593.20","1,549.21","440.24M","-1.41%"
"Apr 27, 2020","1,572.69","1,558.50","1,577.29","1,558.50","389.98M","0.91%"
"Apr 24, 2020","1,558.50","1,526.34","1,558.50","1,523.03","435.13M","2.11%"
"Apr 23, 2020","1,526.34","1,536.93","1,557.62","1,525.20","423.46M","-0.69%"
"Apr 22, 2020","1,536.93","1,479.68","1,543.79","1,479.68","422.97M","3.87%"
"Apr 21, 2020","1,479.68","1,542.96","1,542.96","1,470.85","579.79M","-4.10%"
"Apr 20, 2020","1,542.96","1,571.00","1,571.00","1,542.74","444.81M","-1.78%"
"Apr 17, 2020","1,571.00","1,549.67","1,575.76","1,547.35","525.70M","1.38%"
"Apr 16, 2020","1,549.67","1,530.65","1,552.76","1,523.98","519.66M","1.24%"
"Apr 15, 2020","1,530.65","1,564.86","1,564.86","1,519.06","439.25M","-2.19%"
"Apr 14, 2020","1,564.86","1,502.24","1,566.30","1,502.24","501.26M","4.17%"
"Apr 13, 2020","1,502.24","1,499.20","1,503.25","1,471.42","412.29M","0.20%"
"Apr 09, 2020","1,499.20","1,498.96","1,523.20","1,488.12","550.91M","0.02%"
"Apr 08, 2020","1,498.96","1,458.93","1,503.50","1,458.93","477.42M","2.74%"
"Apr 07, 2020","1,458.93","1,474.59","1,523.81","1,457.35","618.86M","-1.06%"
"Apr 06, 2020","1,474.59","1,355.60","1,481.25","1,355.60","617.67M","8.78%"
"Apr 03, 2020","1,355.60","1,378.36","1,386.05","1,339.43","457.23M","-1.65%"
"Apr 02, 2020","1,378.36","1,347.68","1,379.16","1,336.53","540.72M","2.28%"
"Apr 01, 2020","1,347.68","1,414.36","1,414.36","1,336.53","575.90M","-4.71%"
"Mar 31, 2020","1,414.36","1,441.60","1,463.44","1,406.88","659.47M","-1.89%"
"Mar 30, 2020","1,441.60","1,383.04","1,443.74","1,383.04","529.30M","4.23%"
"Mar 27, 2020","1,383.04","1,449.82","1,449.82","1,381.08","571.98M","-4.61%"
"Mar 26, 2020","1,449.82","1,363.26","1,451.83","1,363.26","682.74M","6.35%"
"Mar 25, 2020","1,363.26","1,367.10","1,426.35","1,337.94","751.97M","-0.28%"
"Mar 24, 2020","1,367.10","1,239.39","1,367.10","1,239.39","796.01M","10.30%"
"Mar 23, 2020","1,239.39","1,251.66","1,269.57","1,198.68","783.85M","-0.98%"
"Mar 20, 2020","1,251.66","1,309.57","1,348.11","1,247.57","846.44M","-4.42%"
"Mar 19, 2020","1,309.57","1,295.22","1,353.83","1,263.30","748.17M","1.11%"
"Mar 18, 2020","1,295.22","1,357.53","1,357.53","1,231.03","833.47M","-4.59%"
"Mar 17, 2020","1,357.53","1,271.40","1,372.67","1,260.05","813.10M","6.77%"
"Mar 16, 2020","1,271.40","1,476.91","1,476.91","1,267.17","810.34M","-13.91%"
"Mar 13, 2020","1,476.91","1,319.10","1,477.24","1,319.10","835.37M","11.96%"
"Mar 12, 2020","1,319.10","1,463.00","1,463.00","1,318.62","903.13M","-9.84%"
"Mar 11, 2020","1,463.00","1,535.19","1,535.19","1,441.72","715.00M","-4.70%"
"Mar 10, 2020","1,535.19","1,440.20","1,535.75","1,440.20","680.23M","6.60%"
"Mar 09, 2020","1,440.20","1,557.93","1,557.93","1,439.12","723.05M","-7.56%"
"Mar 06, 2020","1,557.93","1,590.23","1,590.23","1,515.29","680.99M","-2.03%"
"Mar 05, 2020","1,590.23","1,642.98","1,642.98","1,581.03","538.48M","-3.21%"
"Mar 04, 2020","1,642.98","1,575.48","1,643.86","1,575.48","553.00M","4.28%"
"Mar 03, 2020","1,575.48","1,637.61","1,657.18","1,559.63","754.10M","-3.79%"
"Mar 02, 2020","1,637.61","1,549.24","1,638.07","1,548.53","715.75M","5.70%"
"Feb 28, 2020","1,549.24","1,537.12","1,561.74","1,476.16","952.51M","0.79%"
"Feb 27, 2020","1,537.12","1,623.63","1,623.63","1,535.98","766.54M","-5.33%"
"Feb 26, 2020","1,623.63","1,617.18","1,659.35","1,612.17","565.51M","0.40%"
"Feb 25, 2020","1,617.18","1,670.32","1,691.16","1,611.14","673.60M","-3.18%"
"Feb 24, 2020","1,670.32","1,743.28","1,743.28","1,645.50","575.19M","-4.19%"
"Feb 21, 2020","1,743.28","1,783.42","1,783.42","1,732.44","460.97M","-2.25%"
"Feb 20, 2020","1,783.42","1,801.61","1,801.92","1,758.95","411.83M","-1.01%"
"Feb 19, 2020","1,801.61","1,782.23","1,804.18","1,782.23","361.96M","1.09%"
"Feb 18, 2020","1,782.23","1,788.47","1,788.47","1,771.83","374.18M","-0.35%"
"Feb 14, 2020","1,788.47","1,779.68","1,790.99","1,778.35","351.70M","0.49%"
"Feb 13, 2020","1,779.68","1,785.01","1,789.66","1,768.69","415.69M","-0.30%"
"Feb 12, 2020","1,785.01","1,766.25","1,785.89","1,766.25","423.36M","1.06%"
"Feb 11, 2020","1,766.25","1,772.36","1,787.07","1,760.87","405.42M","-0.34%"
"Feb 10, 2020","1,772.36","1,748.74","1,772.48","1,737.66","360.60M","1.35%"
"Feb 07, 2020","1,748.74","1,766.00","1,766.00","1,744.77","362.90M","-0.98%"
"Feb 06, 2020","1,766.00","1,750.55","1,766.15","1,749.02","338.83M","0.88%"
"Feb 05, 2020","1,750.55","1,740.06","1,768.23","1,737.53","391.16M","0.60%"
"Feb 04, 2020","1,740.06","1,695.99","1,743.57","1,695.99","377.58M","2.60%"
"Feb 03, 2020","1,695.99","1,673.91","1,699.50","1,672.60","381.72M","1.32%"
"Jan 31, 2020","1,673.91","1,720.68","1,720.68","1,667.75","487.83M","-2.72%"
"Jan 30, 2020","1,720.68","1,705.61","1,721.79","1,695.16","426.14M","0.88%"
"Jan 29, 2020","1,705.61","1,701.97","1,717.89","1,699.31","438.04M","0.21%"
"Jan 28, 2020","1,701.97","1,670.68","1,706.20","1,670.68","374.14M","1.87%"
"Jan 27, 2020","1,670.68","1,711.11","1,711.11","1,663.19","397.93M","-2.36%"
"Jan 24, 2020","1,711.11","1,718.85","1,735.04","1,704.53","453.66M","-0.45%"
"Jan 23, 2020","1,718.85","1,710.58","1,719.25","1,705.04","350.12M","0.48%"
"Jan 22, 2020","1,710.58","1,704.33","1,722.34","1,704.33","352.58M","0.37%"
"Jan 21, 2020","1,704.33","1,705.75","1,714.00","1,699.22","413.87M","-0.08%"
"Jan 17, 2020","1,705.75","1,693.66","1,706.25","1,692.41","436.20M","0.71%"
"Jan 16, 2020","1,693.66","1,670.26","1,693.84","1,670.26","346.83M","1.40%"
"Jan 15, 2020","1,670.26","1,669.08","1,678.96","1,665.42","328.28M","0.07%"
"Jan 14, 2020","1,669.08","1,679.09","1,680.91","1,666.67","350.82M","-0.60%"
"Jan 13, 2020","1,679.09","1,656.82","1,679.14","1,656.82","335.76M","1.34%"
"Jan 10, 2020","1,656.82","1,659.95","1,669.58","1,653.67","323.40M","-0.19%"
"Jan 09, 2020","1,659.95","1,641.38","1,661.05","1,641.38","374.92M","1.13%"
"Jan 08, 2020","1,641.38","1,624.59","1,648.45","1,623.19","372.78M","1.03%"
"Jan 07, 2020","1,624.59","1,626.38","1,632.33","1,622.30","382.70M","-0.11%"
"Jan 06, 2020","1,626.38","1,621.68","1,626.65","1,602.36","339.78M","0.29%"
"Jan 03, 2020","1,621.68","1,639.12","1,639.12","1,615.88","334.21M","-1.06%"
"Jan 02, 2020","1,639.12","1,611.17","1,639.52","1,611.17","372.41M","1.73%"
